title,description
Introduction to C Programming,"Learn the fundamentals of C programming, including data types, control structures, and functions. Ideal for beginners aiming to build a solid programming foundation."
C Programming Beyond Basics,"Deepen your C knowledge with pointers, memory management, file handling, and advanced programming techniques. Perfect for those who have mastered the basics."
Introduction to C++,"Get started with C++, covering variables, control flow, and basic data structures. A beginner-friendly course for transitioning from C or starting fresh."
Object Oriented Programming with C++,"Master OOP concepts like classes, inheritance, polymorphism, and encapsulation using C++. Essential for developing modular and scalable applications."
Introduction to React,"Build dynamic web interfaces with React, one of the most popular JavaScript libraries. Learn components, hooks, props, and state management from scratch."
Introduction to Node.js,"Explore backend development using Node.js. Understand asynchronous programming, modules, and how to build RESTful APIs using Express."
Complete Introduction to Web Development,"A full-stack crash course covering HTML, CSS, JavaScript, frontend frameworks, and backend fundamentals. Everything you need to start building modern web apps."
Power Electronics Basics,"Understand the core principles of power electronics, including rectifiers, inverters, and converters. Ideal for electrical and electronics engineering students."
Switch Mode Power Supplies,"Learn the design and operation of SMPS circuits, including buck, boost, and buck-boost converters. A hands-on approach to efficient power conversion."
Circuit Analysis,"Study the basics of electric circuit theory, including Ohm's Law, Kirchhoff’s Laws, and circuit theorems. Essential for anyone entering electrical engineering."
Analog Electronics,"Dive into the world of analog components like diodes, transistors, and amplifiers. Learn how to design and analyze analog circuits with real-world applications."
Operational Amplifiers,"Master the theory and application of op-amps in linear and non-linear circuits. Topics include inverting/non-inverting amplifiers, filters, and comparators."
